,analysis,phylum,count,rel_abundance
0,MGYA00703743,Acidobacteria,2,0.0005889038732207742
1,MGYA00703743,Actinobacteria,3657,1.0768107321841855
2,MGYA00703743,Bacteroidetes,184102,54.20919043384549
3,MGYA00703743,Candidatus_Cloacimonetes,4,0.0011778077464415484
4,MGYA00703743,Candidatus_Saccharibacteria,2,0.0005889038732207742
5,MGYA00703743,Chloroflexi,2,0.0005889038732207742
6,MGYA00703743,Fibrobacteres,1,0.0002944519366103871
7,MGYA00703743,Firmicutes,113423,33.397622006159935
8,MGYA00703743,Fusobacteria,7,0.0020611635562727097
9,MGYA00703743,Proteobacteria,38401,11.307248817775474
10,MGYA00703743,Verrucomicrobia,13,0.0038278751759350323
11,MGYA00703744,Acidobacteria,2,0.0005889142776377471
12,MGYA00703744,Actinobacteria,3669,1.0803632423264469
13,MGYA00703744,Bacteroidetes,184127,54.21750959930273
14,MGYA00703744,Candidatus_Cloacimonetes,4,0.0011778285552754941
15,MGYA00703744,Candidatus_Saccharibacteria,2,0.0005889142776377471
16,MGYA00703744,Chloroflexi,2,0.0005889142776377471
17,MGYA00703744,Fibrobacteres,1,0.00029445713881887353
18,MGYA00703744,Firmicutes,113384,33.38672822783916
19,MGYA00703744,Fusobacteria,7,0.0020611999717321146
20,MGYA00703744,Proteobacteria,38400,11.307154130644744
21,MGYA00703744,Verrucomicrobia,10,0.0029445713881887355
22,MGYA00703745,Acidobacteria,2,0.0005364332019966043
23,MGYA00703745,Actinobacteria,407,0.10916415660630899
24,MGYA00703745,Bacteroidetes,200075,53.66343644473531
25,MGYA00703745,Candidatus_Cloacimonetes,22,0.0059007652219626484
26,MGYA00703745,Fibrobacteres,1,0.00026821660099830217
27,MGYA00703745,Firmicutes,98310,26.36837404414309
28,MGYA00703745,Fusobacteria,44,0.011801530443925297
29,MGYA00703745,Lentisphaerae,56,0.01502012965590492
30,MGYA00703745,Proteobacteria,73376,19.68066131485142
31,MGYA00703745,Streptophyta,1,0.00026821660099830217
